Qc_dia_corr,Qi_dia_corr,Qi_dia_corr_err,Qi_no_corr,Qi_no_corr_err,Ql,Ql_err,absQc,absQc_err,chi_square,fr,fr_err,phi0,phi0_err,theta0,w_3
3625.7253507348437,22857301722.800987,2891635021922424.5,-10887126.67454176,653702086.702775,3625.7247756064935,72.5083659203496,3624.517707475069,0.04341811448510828,1.7101353369285807e-08,5998317759.284359,3899.3138209758117,0.025810649443126124,0.0047144074302978975,-3.115782004146667,1
5060.94847539333,-2871631791.1066294,22375353161559.36,-415087025.5841975,467352472592.2242,5060.957394797514,69.45170464439006,5060.895689719093,0.7914708637957639,2.0352647384991925e-06,5996519125.918361,3994.0217203044326,0.004567278074054764,0.006745963980171638,-3.137025508353004,2
6442.876247222003,58462174205.937096,5241981227253474.0,-100225680.72422987,15379744166.402863,6442.875537179137,63.560829511475696,6442.461392055829,0.07258470790918434,8.930575744775347e-09,5995525083.180762,2326.8867067290157,0.011348166124106345,0.005001646735879256,-3.1302444874656867,3
8088.100245449409,1385666127.4728532,1596351595785.0198,3540380786.632537,10432185697719.217,8088.053035676112,54.422247552592744,8088.071512996857,4.891368983620797,2.0642108267474196e-05,5996549306.176816,4991.8583751746255,0.00266549709056102,0.013411478771799589,-3.138927156499232,4
10869.804899697425,-721449109.3274416,4274783661751.9517,-41662309.6895728,14212001409.32306,10869.968673464999,970.1484854233609,10867.133367401695,6.005973122216877,2.727258189613264e-06,5995522555.0010395,5324.70339819172,0.022171405906256585,0.020612339503645435,-3.1194214875082307,5
12274.626911633894,-1288193881.3384764,1732868435430.8682,-197719622.6489918,40975948124.468605,12274.743872212306,157.4833383825023,12273.981884191582,8.771019180942314,1.7776511734569972e-05,5995545959.514996,5210.244244032047,0.010251840608154641,0.021250602570359132,-3.1313408129816387,6
14634.044861975679,-1375107560.7419934,9726511594038.18,-183323520.5140949,172744987595.41708,14634.20060073694,1097.9041000210605,14633.032486944392,18.756556337848917,4.875718396395358e-05,5995511321.121803,7460.5902465617755,0.01176267298180626,0.03638620854832586,-3.1298300541031727,7
17409.66995995105,-21806274758.84501,11535211692244.36,-40897565.42994781,40457134.06798022,17409.683859475543,7.278708621817908,17402.275884981027,0.19664304223001883,3.0113844802391082e-09,5995487488.434971,22.307729699535102,0.02914587014112514,0.00012642919644495325,-3.112446783448668,8
20837.707181624377,-1761875786.7862766,24323253373998.062,-126347886.75221011,124722232363.90034,20837.95363212861,3397.104199978505,20834.51749464613,11.669170342015263,5.125925225098767e-06,5996245782.37099,3940.600156763995,0.017497242268248385,0.02971003006068094,-3.124095773027135,9
24297.640888709717,-526842735.31596035,828547582030.6975,-83783011.59930667,20876412497.620007,24298.76153163057,1750.5553913732542,24291.71644440096,41.56083115758463,5.4046096755165915e-05,5994993407.951346,4057.0677850669194,0.022083381686634766,0.03287267788096128,-3.119509500547749,10
28999.62311569244,-600262584.8828722,167193269295.23087,-7348851.444158321,24621022.314644404,29001.024200472606,389.47705165826585,28887.02633886133,18.621666416426145,3.1838047303642563e-06,5994781104.787827,601.2780196560069,0.08815002096933895,0.006161690583907517,-3.0534431852959676,11
31576.384368002065,-640493614.8144641,1079478669866.2642,-103692988.45521238,28171236612.192333,31577.94116292499,2603.1049043835674,31568.327564114865,62.39507980795746,5.592808141845514e-05,5994947655.256811,2910.766085767257,0.022590426421830293,0.030607935224712543,-3.119002641981816,12
37756.46165444794,-288878892.3218323,56099673715.03975,-27891472.737420365,517184644.40204924,37761.39706779348,950.530931861251,37710.342208872346,56.53644131653449,2.6960517120176567e-05,5993504043.870522,1035.1280847193,0.04943170726277022,0.013122180315874156,-3.09216138018988,13
39982.926533552796,-1920685055.6346226,15015462153699.176,-257976108.29506874,270168119272.7845,39983.75887599696,6473.48729743528,39977.56274706125,65.95955177463456,2.9607690388983205e-05,5995894570.906311,2874.4572351027373,0.016380166226954356,0.03860060603242521,-3.125213033558446,14
45259.17291536784,-2022419773.587195,13411687010418.654,-291806533.750915,278451789603.97705,45260.18578055101,6682.84611673451,45253.16686047086,78.85694446925787,2.9963143089123857e-05,5995632144.585775,2613.8426876486415,0.01629150262655268,0.039743018582135296,-3.1253014133836405,15
49756.58559078133,-79774182301.71336,239290550380379.94,-751369620.240896,21229493987.771236,49756.61662487385,93.35999612529899,49753.32189895354,2.3198036279944074,2.0160860271412146e-08,5996023561.539534,54.822566651177716,0.011453722544743016,0.0009108221327510787,-3.13013893104505,16
59113.22882175261,-986953580.2910408,698603909144.6149,-73454921.60063861,3842435882.155667,59116.76959935179,2485.5355675738524,59069.23048266959,86.71671579246997,1.6845692823449275e-05,5995176101.701028,790.0372235529304,0.03858493200314321,0.015545665068759672,-3.103008492713878,17
62413.50452752939,-55414528176.12431,351174127138368.06,-3329775257.2700863,1267000849331.9807,62413.57482407549,446.0391685117498,62412.404960944805,4.730851922945395,3.75805471279135e-08,5996155274.865826,92.66188194114447,0.0059359074037009215,0.0019767844127342514,-3.1356563601536203,18
69553.27978250264,352669035264.4233,3837413888745329.0,-748522814.3323737,17324101532.672752,69553.26606522867,150.54678279509636,69546.80372733995,6.593030784303772,5.691313982508499e-08,5996134921.790948,67.5311589263711,0.013646297353553296,0.001568133562835465,-3.1279463562362397,19
81843.69850559863,-182952132609.3633,726502463504847.9,-34986741.89409124,26568618.196826704,81843.73511842126,145.8579416453279,81652.72664579684,3.6080125163156795,1.022701115623698e-08,5995646817.854439,35.080966173597645,0.06832687321138194,0.0009593068775051553,-3.0732657803784114,20
